2026-09-19 21:22:58,898 | ERROR    | core.vision_client | generate_narration:265 | VLM request error: 400 Client Error: Bad Request for url: https://aihubmix.com/v1/chat/completions
2026-09-19 21:22:58,900 | INFO     | core.vision_client | generate_narration:211 | VLM request: panel=panel_0003.png, attempt=3/3
2026-09-19 21:23:03,427 | ERROR    | core.vision_client | generate_narration:265 | VLM request error: 400 Client Error: Bad Request for url: https://aihubmix.com/v1/chat/completions
2026-09-19 21:23:03,444 | INFO     | core.vision_client | generate_narration:211 | VLM request: panel=panel_0004.png, attempt=1/3
2026-09-19 21:23:05,074 | ERROR    | core.vision_client | generate_narration:265 | VLM request error: 400 Client Error: Bad Request for url: https://aihubmix.com/v1/chat/completions
2026-09-19 21:23:05,075 | INFO     | core.vision_client | generate_narration:211 | VLM request: panel=panel_0004.png, attempt=2/3
2026-09-19 21:23:06,638 | ERROR    | core.vision_client | generate_narration:265 | VLM request error: 400 Client Error: Bad Request for url: https://aihubmix.com/v1/chat/completions
2026-09-19 21:23:06,640 | INFO     | core.vision_client | generate_narration:211 | VLM request: panel=panel_0004.png, attempt=3/3
2026-09-19 21:23:08,396 | ERROR    | core.vision_client | generate_narration:265 | VLM request error: 400 Client Error: Bad Request for url: https://aihubmix.com/v1/chat/completions
2026-09-19 21:23:08,416 | INFO     | core.vision_client | generate_narration:211 | VLM request: panel=panel_0005.png, attempt=1/3
2026-09-19 21:23:09,100 | ERROR    | core.vision_client | generate_narration:265 | VLM request error: 400 Client Error: Bad Request for url: https://aihubmix.com/v1/chat/completions
2026-09-19 21:23:09,101 | INFO     | core.vision_client | generate_narration:211 | VLM request: panel=panel_0005.png, attempt=2/3
2026-09-19 21:23:10,637 | ERROR    | core.vision_client | generate_narration:265 | VLM request error: 400 Client Error: Bad Request for url: https://aihubmix.com/v1/chat/completions
2026-09-19 21:23:10,638 | INFO     | core.vision_client | generate_narration:211 | VLM request: panel=panel_0005.png, attempt=3/3
2026-09-19 21:23:11,309 | ERROR    | core.vision_client | generate_narration:265 | VLM request error: 400 Client Error: Bad Request for url: https://aihubmix.com/v1/chat/completions
2026-09-19 21:23:11,341 | INFO     | core.vision_client | generate_narration:211 | VLM request: panel=panel_0006.png, attempt=1/3
2026-09-19 21:23:15,919 | ERROR    | core.vision_client | generate_narration:265 | VLM request error: 400 Client Error: Bad Request for url: https://aihubmix.com/v1/chat/completions
2026-09-19 21:23:15,920 | INFO     | core.vision_client | generate_narration:211 | VLM request: panel=panel_0006.png, attempt=2/3
2026-09-19 21:23:19,316 | ERROR    | core.vision_client | generate_narration:265 | VLM request error: 400 Client Error: Bad Request for url: https://aihubmix.com/v1/chat/completions
2026-09-19 21:23:19,318 | INFO     | core.vision_client | generate_narration:211 | VLM request: panel=panel_0006.png, attempt=3/3
2026-09-19 21:23:22,417 | ERROR    | core.vision_client | generate_narration:265 | VLM request error: 400 Client Error: Bad Request for url: https://aihubmix.com/v1/chat/completions
2026-09-19 21:23:22,433 | INFO     | core.vision_client | generate_narration:211 | VLM request: panel=panel_0007.png, attempt=1/3
2026-09-19 21:23:23,966 | ERROR    | core.vision_client | generate_narration:265 | VLM request error: 400 Client Error: Bad Request for url: https://aihubmix.com/v1/chat/completions
2026-09-19 21:23:23,967 | INFO     | core.vision_client | generate_narration:211 | VLM request: panel=panel_0007.png, attempt=2/3
2026-09-19 21:23:25,587 | ERROR    | core.vision_client | generate_narration:265 | VLM request error: 400 Client Error: Bad Request for url: https://aihubmix.com/v1/chat/completions
2026-09-19 21:23:25,588 | INFO     | core.vision_client | generate_narration:211 | VLM request: panel=panel_0007.png, attempt=3/3
2026-09-19 21:23:26,984 | ERROR    | core.vision_client | generate_narration:265 | VLM request error: 400 Client Error: Bad Request for url: https://aihubmix.com/v1/chat/completions
